NE Name,Resource Name,Queue Block,Queue Number,Time,Dequeued (Bytes),Dequeued (Frames),Dropped (Bytes),Dropped (Frames)
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:32:17,4281331072,33447899,32801393024,256260882
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:34:17,4431048064,34617563,33948610816,265223520
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:36:17,4580848000,35787875,35096455552,274191058
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:38:17,4730571136,36957587,36243728640,283154129
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:40:17,4879747456,38123027,37386794112,292084328
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:42:17,5030103424,39297683,38538915968,301085279
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:44:17,5179894144,40467923,39686690816,310052271
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:46:17,5329691008,41638211,40834539392,319019838
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:48:17,5479417216,42807947,41981808640,327982879
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:50:17,5629140352,43977659,43129081856,336945951
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:52:17,5778900352,45147659,44276642304,345911267
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:54:17,5928774016,46318547,45425061888,354883295
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:56:17,6078432640,47487755,46571814144,363842296
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:58:17,6228223360,48657995,47719604608,372809410
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 15:00:17,6377983872,49827997,48867164416,381774722
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:02:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:04:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:06:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:08:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:10:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:12:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:14:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:16:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:18:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:20:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:22:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:24:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:26:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:28:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:30:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:32:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:34:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:36:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:38:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:40:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:42:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:44:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:46:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:48:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:50:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:52:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:54:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:56:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:58:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 15:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:02:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:04:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:06:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:08:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:10:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:12:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:14:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:16:17,0,0,0,0
